nutrient,unit,value,species
Taurine,%,0.03,Channel Catfish
Linoleic 18:2 n-6,%,0.45,Channel Catfish
EPA 20:5 n-3,%,0.11,Channel Catfish
DHA 22:6 n-3,%,0.07,Channel Catfish
EPA+DHA,%,0.17,Channel Catfish
Sum_n_3,%,0.69,Channel Catfish
Linolenic 18:3 n-3,%,2.75,Channel Catfish
Arachidonic 20:4 n-6,%,0.02,Channel Catfish
Sum n-6,%,3.08,Channel Catfish
Phospholipids,%,0.57,Channel Catfish
Cholesterol,mg,251.63,Channel Catfish
Calcium,%,0.88,Channel Catfish
Phosphorus,%,0.99,Channel Catfish
Digestible P,%,0.56,Channel Catfish
Dry Matter,%,90.71,Black Carp
Crude Protein,%,34.31,Black Carp
Crude Lipid,%,10.32,Black Carp
Crude Fibre,%,4.16,Black Carp
Ash,%,6.91,Black Carp
NFE,%,35.00,Black Carp
Starch,%,18.19,Black Carp
Dig CP -fish,%,30.13,Black Carp
DE Fish Carni MJ,MJ/kg,14.77,Black Carp
DE Fish Carni kcal,kcal/kg,3516,Black Carp
Arginine,%,2.32,Black Carp
Histidine,%,0.84,Black Carp
Isoleucine,%,1.48,Black Carp
Leucine,%,2.50,Black Carp
Lysine,%,1.86,Black Carp
Methionine,%,0.59,Black Carp
Phenylalanine,%,1.65,Black Carp
Threonine,%,1.26,Black Carp
Tryptophan,%,0.39,Black Carp
Valine,%,1.75,Black Carp
Cystine,%,0.57,Black Carp
Tyrosine,%,1.16,Black Carp
Taurine,%,0.03,Black Carp
Linoleic 18:2 n-6,%,0.58,Black Carp
EPA 20:5 n-3,%,0.12,Black Carp
DHA 22:6 n-3,%,0.07,Black Carp
EPA+DHA,%,0.20,Black Carp
Sum_n_3,%,0.87,Black Carp
Linolenic 18:3 n-3,%,3.77,Black Carp
Arachidonic 20:4 n-6,%,0.02,Black Carp
Sum n-6,%,4.21,Black Carp
Phospholipids,%,0.64,Black Carp
Cholesterol,mg,304.32,Black Carp
Calcium,%,1.10,Black Carp
Phosphorus,%,1.18,Black Carp
Digestible P,%,0.72,Black Carp
Dry Matter,%,90.00,IMC catla
Crude Protein,%,32.34,IMC catla
Crude Lipid,%,7.13,IMC catla
Crude Fibre,%,6.77,IMC catla
Ash,%,5.98,IMC catla
NFE,%,37.77,IMC catla
Starch,%,18.79,IMC catla
Dig CP -fish,%,28.00,IMC catla
DE Fish Carni MJ,MJ/kg,13.44,IMC catla
DE Fish Carni kcal,kcal/kg,3211,IMC catla
Arginine,%,2.21,IMC catla
Histidine,%,0.80,IMC catla
Isoleucine,%,1.28,IMC catla
Leucine,%,2.23,IMC catla
Lysine,%,1.77,IMC catla
Methionine,%,0.64,IMC catla
Phenylalanine,%,1.34,IMC catla
Threonine,%,1.21,IMC catla
Tryptophan,%,0.46,IMC catla
Valine,%,1.59,IMC catla
Cystine,%,0.56,IMC catla
Tyrosine,%,1.27,IMC catla
Taurine,%,0.03,IMC catla
Linoleic 18:2 n-6,%,0.15,IMC catla
EPA 20:5 n-3,%,0.25,IMC catla
DHA 22:6 n-3,%,0.22,IMC catla
EPA+DHA,%,0.48,IMC catla
Sum_n_3,%,0.70,IMC catla
Linolenic 18:3 n-3,%,1.63,IMC catla
Arachidonic 20:4 n-6,%,0.03,IMC catla
Sum n-6,%,1.85,IMC catla
Phospholipids,%,0.62,IMC catla
Cholesterol,mg,386.24,IMC catla
Calcium,%,0.74,IMC catla
Phosphorus,%,0.85,IMC catla
Digestible P,%,0.46,IMC catla
Dry Matter,%,89.47,IMC Mrigal
Crude Protein,%,30.32,IMC Mrigal
Crude Lipid,%,7.00,IMC Mrigal
Crude Fibre,%,4.62,IMC Mrigal
Ash,%,5.50,IMC Mrigal
NFE,%,42.02,IMC Mrigal
Starch,%,20.00,IMC Mrigal
Dig CP -fish,%,27.00,IMC Mrigal
DE Fish Carni MJ,MJ/kg,13.60,IMC Mrigal
DE Fish Carni kcal,kcal/kg,3251,IMC Mrigal
Arginine,%,2.06,IMC Mrigal
Histidine,%,0.75,IMC Mrigal
Isoleucine,%,1.26,IMC Mrigal
Leucine,%,2.36,IMC Mrigal
Lysine,%,1.73,IMC Mrigal
Methionine,%,0.56,IMC Mrigal
Phenylalanine,%,1.46,IMC Mrigal
Threonine,%,1.11,IMC Mrigal
Tryptophan,%,0.41,IMC Mrigal
Valine,%,1.50,IMC Mrigal
Cystine,%,0.49,IMC Mrigal
Tyrosine,%,1.13,IMC Mrigal
Taurine,%,0.09,IMC Mrigal
Linoleic 18:2 n-6,%,0.18,IMC Mrigal
EPA 20:5 n-3,%,0.05,IMC Mrigal
DHA 22:6 n-3,%,0.03,IMC Mrigal
EPA+DHA,%,0.08,IMC Mrigal
Sum_n_3,%,0.29,IMC Mrigal
Linolenic 18:3 n-3,%,1.88,IMC Mrigal
Arachidonic 20:4 n-6,%,0.00,IMC Mrigal
Sum n-6,%,2.10,IMC Mrigal
Phospholipids,%,1.84,IMC Mrigal
Cholesterol,mg,58.00,IMC Mrigal
Calcium,%,0.43,IMC Mrigal
Phosphorus,%,0.79,IMC Mrigal
Digestible P,%,0.33,IMC Mrigal
Dry Matter,%,90.13,Milkfish
Crude Protein,%,33.35,Milkfish
Crude Lipid,%,8.00,Milkfish
Crude Fibre,%,5.56,Milkfish
Ash,%,6.50,Milkfish
NFE,%,36.72,Milkfish
Starch,%,19.86,Milkfish
Dig CP -fish,%,29.01,Milkfish
DE Fish Carni MJ,MJ/kg,13.92,Milkfish
DE Fish Carni kcal,kcal/kg,3327,Milkfish
Arginine,%,2.29,Milkfish
Histidine,%,0.96,Milkfish
Isoleucine,%,1.36,Milkfish
Leucine,%,2.54,Milkfish
Lysine,%,1.86,Milkfish
Methionine,%,0.65,Milkfish
Phenylalanine,%,1.61,Milkfish
Threonine,%,1.35,Milkfish
Tryptophan,%,0.41,Milkfish
Valine,%,1.85,Milkfish
Cystine,%,0.60,Milkfish
Tyrosine,%,1.19,Milkfish
Taurine,%,0.04,Milkfish
Linoleic 18:2 n-6,%,0.21,Milkfish
EPA 20:5 n-3,%,0.18,Milkfish
DHA 22:6 n-3,%,0.15,Milkfish
EPA+DHA,%,0.33,Milkfish
Sum_n_3,%,0.60,Milkfish
Linolenic 18:3 n-3,%,1.56,Milkfish
Arachidonic 20:4 n-6,%,0.05,Milkfish
Sum n-6,%,1.79,Milkfish
Phospholipids,%,0.75,Milkfish
Cholesterol,mg,539.45,Milkfish
Calcium,%,0.68,Milkfish
Phosphorus,%,0.89,Milkfish
Digestible P,%,0.48,Milkfish
Dry Matter,%,92.55,Japanese eel
Crude Protein,%,45.50,Japanese eel
Crude Lipid,%,20.89,Japanese eel
Crude Fibre,%,0.75,Japanese eel
Ash,%,5.77,Japanese eel
NFE,%,19.63,Japanese eel
Starch,%,15.02,Japanese eel
Dig CP -fish,%,39.80,Japanese eel
DE Fish Carni MJ,MJ/kg,19.39,Japanese eel
DE Fish Carni kcal,kcal/kg,4636,Japanese eel
Arginine,%,2.66,Japanese eel
Histidine,%,0.97,Japanese eel
Isoleucine,%,1.95,Japanese eel
Leucine,%,3.96,Japanese eel
Lysine,%,2.65,Japanese eel
Methionine,%,1.03,Japanese eel
Phenylalanine,%,2.18,Japanese eel
Threonine,%,1.81,Japanese eel
Tryptophan,%,0.42,Japanese eel
Valine,%,2.61,Japanese eel
Cystine,%,0.70,Japanese eel
Tyrosine,%,1.44,Japanese eel
Taurine,%,0.17,Japanese eel
Linoleic 18:2 n-6,%,0.79,Japanese eel
EPA 20:5 n-3,%,0.66,Japanese eel
DHA 22:6 n-3,%,0.43,Japanese eel
EPA+DHA,%,1.09,Japanese eel
Sum_n_3,%,2.09,Japanese eel
Linolenic 18:3 n-3,%,6.06,Japanese eel
Arachidonic 20:4 n-6,%,0.05,Japanese eel
Sum n-6,%,6.79,Japanese eel
Phospholipids,%,1.59,Japanese eel
Cholesterol,mg,1440.20,Japanese eel
Calcium,%,1.78,Japanese eel
Phosphorus,%,1.10,Japanese eel
Digestible P,%,0.70,Japanese eel
Dry Matter,%,91.31,Korean rockfish
Crude Protein,%,41.90,Korean rockfish
Crude Lipid,%,13.51,Korean rockfish
Crude Fibre,%,2.69,Korean rockfish
Ash,%,8.21,Korean rockfish
NFE,%,25.00,Korean rockfish
Starch,%,12.56,Korean rockfish
Dig CP -fish,%,37.45,Korean rockfish
DE Fish Carni MJ,MJ/kg,16.40,Korean rockfish
DE Fish Carni kcal,kcal/kg,3920,Korean rockfish
Arginine,%,2.68,Korean rockfish
Histidine,%,1.14,Korean rockfish
Isoleucine,%,1.59,Korean rockfish
Leucine,%,3.55,Korean rockfish
Lysine,%,2.43,Korean rockfish
Methionine,%,0.83,Korean rockfish
Phenylalanine,%,1.88,Korean rockfish
Threonine,%,1.64,Korean rockfish
Tryptophan,%,0.40,Korean rockfish
Valine,%,2.19,Korean rockfish
Cystine,%,0.61,Korean rockfish
Tyrosine,%,1.54,Korean rockfish
Taurine,%,0.05,Korean rockfish
Linoleic 18:2 n-6,%,0.27,Korean rockfish
EPA 20:5 n-3,%,0.63,Korean rockfish
DHA 22:6 n-3,%,0.46,Korean rockfish
EPA+DHA,%,1.09,Korean rockfish
Sum_n_3,%,1.51,Korean rockfish
Linolenic 18:3 n-3,%,2.06,Korean rockfish
Arachidonic 20:4 n-6,%,0.07,Korean rockfish
Sum n-6,%,2.37,Korean rockfish
Phospholipids,%,1.41,Korean rockfish
Cholesterol,mg,919.73,Korean rockfish
Calcium,%,1.71,Korean rockfish
Phosphorus,%,1.26,Korean rockfish
Digestible P,%,0.72,Korean rockfish
